0.195 0.9989 0.0009 0.724 0.005 0.011 0.016 0.020
0.225 0.9990 0.0009 0.701 0.006 0.008 0.016 0.019
0.255 0.9991 0.0009 0.668 0.008 0.008 0.015 0.019
0.285 0.9993 0.0008 0.635 0.008 0.009 0.014 0.019
0.315 0.9997 0.0009 0.647 0.010 0.008 0.015 0.019
0.345 1.0003 0.0008 0.618 0.010 0.008 0.014 0.019
0.375 1.0010 0.0008 0.610 0.013 0.010 0.014 0.021
0.405 1.0019 0.0008 0.547 0.014 0.006 0.013 0.020
0.435 1.0029 0.0007 0.567 0.015 0.007 0.013 0.021
0.465 1.0039 0.0007 0.540 0.015 0.006 0.013 0.020
0.495 1.0049 0.0007 0.528 0.014 0.006 0.012 0.020
0.525 1.0058 0.0007 0.496 0.015 0.006 0.012 0.020
0.555 1.0067 0.0007 0.489 0.015 0.006 0.012 0.020
0.585 1.0074 0.0008 0.489 0.016 0.006 0.012 0.020
0.615 1.0081 0.0009 0.489 0.016 0.005 0.012 0.021
0.645 1.0087 0.0010 0.461 0.016 0.006 0.011 0.020
0.675 1.0093 0.0013 0.466 0.018 0.006 0.011 0.022
0.705 1.0098 0.0017 0.442 0.016 0.005 0.011 0.020
0.735 1.0104 0.0020 0.451 0.016 0.005 0.011 0.020
0.765 1.0111 0.0024 0.436 0.016 0.006 0.011 0.020
0.795 1.0118 0.0030 0.441 0.017 0.006 0.011 0.022
0.825 1.0125 0.0043 0.455 0.020 0.009 0.011 0.024
